specialty,train_int_sd,n_stayer,n_mover,train_int_stayer,train_int_mover,p,diff
Advanced Heart Failure and Transplant Cardiology,0.05716836208786172,6,NA,0.022191780063152203,NA,0.974122527086509,NA
Advanced Heart Failure and Transplant Cardiology,0.021122519434242624,NA,26,NA,0.02299751766484137,0.974122527086509,NA
Cardiology,0.041728363913479415,491,NA,0.033744172199583554,NA,3.644752444638268e-10,NA
Cardiology,0.03410168072711365,NA,3075,NA,0.021114056076574187,3.644752444638268e-10,NA
Clinical Cardiac Electrophysiology,0.03166310710383689,23,NA,0.04094636458674661,NA,0.0073369785411165605,NA
Clinical Cardiac Electrophysiology,0.030403765497178267,NA,173,NA,0.020702401745308855,0.0073369785411165605,NA
Interventional Cardiology,0.040958399622521305,136,NA,0.042030723884010884,NA,6.225294875957111e-5,NA
Interventional Cardiology,0.033618148553644436,NA,875,NA,0.02685811928749024,6.225294875957111e-5,NA
